Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_small_three_tier_shelf,,A small three-tier shelf that quietly hits its limit as things pile up.,物が増えると静かに限界を迎える。小さな三段棚。,东西一多就悄悄到极限的小三层架。,東西一多就悄悄到極限的小三層架。,A small three-tier shelf that quietly hits its limit as things pile up.,A small three-tier shelf that quietly hits its limit as things pile up.,A small three-tier shelf that quietly hits its limit as things pile up.,A small three-tier shelf that quietly hits its limit as things pile up.,Una pequeña estantería de tres niveles que alcanza su límite en silencio cuando se acumulan cosas.,A small three-tier shelf that quietly hits its limit as things pile up.,"Маленькая трёхъярусная полка, тихо достигающая предела, когда вещей много."
desc_step_stool,,One step higher changes the world. Important on the rooftop.,一段高くなるだけで世界が変わる。屋上では重要。,只高一阶世界就不同，屋顶上很重要。,只高一階世界就不同，屋頂上很重要。,One step higher changes the world. Important on the rooftop.,One step higher changes the world. Important on the rooftop.,One step higher changes the world. Important on the rooftop.,One step higher changes the world. Important on the rooftop.,Un paso más alto cambia el mundo. Importante en la azotea.,One step higher changes the world. Important on the rooftop.,Один шаг выше — и мир меняется. На крыше это важно.
desc_round_rug_large,,Inside the circle the wind feels gentler. A large safe zone.,円の中だけ風がやさしい。大きめの安心地帯。,圆圈里风更温柔的大型安心地带。,圓圈裡風更溫柔的大型安心地帶。,Inside the circle the wind feels gentler. A large safe zone.,Inside the circle the wind feels gentler. A large safe zone.,Inside the circle the wind feels gentler. A large safe zone.,Inside the circle the wind feels gentler. A large safe zone.,Dentro del círculo el viento se siente más suave. Una gran zona segura.,Inside the circle the wind feels gentler. A large safe zone.,Внутри круга ветер мягче. Большая безопасная зона.
desc_round_rug_small,,A round reason to sit for a bit. Surprisingly hard to leave.,ちょっと座るための丸い理由。意外と離れがたい。,稍坐一会儿的圆形理由，意外不想离开。,稍坐一會兒的圓形理由，意外不想離開。,A round reason to sit for a bit. Surprisingly hard to leave.,A round reason to sit for a bit. Surprisingly hard to leave.,A round reason to sit for a bit. Surprisingly hard to leave.,A round reason to sit for a bit. Surprisingly hard to leave.,Una razón redonda para sentarse un poco. Sorprendentemente difícil de dejar.,A round reason to sit for a bit. Surprisingly hard to leave.,Круглый повод немного посидеть. Удивительно трудно уйти.
desc_square_rug_large,,Comfort framed in a square. It tends to become the usual spot.,四角く区切られたくつろぎ。定位置になりがち。,被方形划出的放松区，常成固定位置。,被方形劃出的放鬆區，常成固定位置。,Comfort framed in a square. It tends to become the usual spot.,Comfort framed in a square. It tends to become the usual spot.,Comfort framed in a square. It tends to become the usual spot.,Comfort framed in a square. It tends to become the usual spot.,Comodidad enmarcada en un cuadrado. Tiende a volverse el lugar habitual.,Comfort framed in a square. It tends to become the usual spot.,"Комфорт, обрамлённый квадратом. Часто становится обычным местом."
desc_spotlight_a,,Light that gathers eyes and stories. Its job is to choose the lead.,視線と物語を集める光。主役を決める役目。,聚集视线与故事的光，负责选出主角。,聚集視線與故事的光，負責選出主角。,Light that gathers eyes and stories. Its job is to choose the lead.,Light that gathers eyes and stories. Its job is to choose the lead.,Light that gathers eyes and stories. Its job is to choose the lead.,Light that gathers eyes and stories. Its job is to choose the lead.,Luz que reúne miradas e historias. Su trabajo es elegir al protagonista.,Light that gathers eyes and stories. Its job is to choose the lead.,"Свет, собирающий взгляды и истории. Его работа — выбрать главного."
desc_spotlight_b,,A great light pretending to be a side role. It controls the mood from behind.,脇役のふりをした名照明。雰囲気を裏で操る。,装作配角的名灯，在背后操控氛围。,裝作配角的名燈，在背後操控氛圍。,A great light pretending to be a side role. It controls the mood from behind.,A great light pretending to be a side role. It controls the mood from behind.,A great light pretending to be a side role. It controls the mood from behind.,A great light pretending to be a side role. It controls the mood from behind.,Una gran luz que finge ser secundaria. Controla el ambiente desde atrás.,A great light pretending to be a side role. It controls the mood from behind.,"Великий свет, притворяющийся второстепенным. Управляет настроением из-за кулис."
desc_round_ceiling_light,,A light that rounds up the night. It descends quietly from overhead.,夜を丸くまとめる灯り。頭上から静かに降りてくる。,把夜晚圆润收拢的灯，从头顶静静落下。,把夜晚圓潤收攏的燈，從頭頂靜靜落下。,A light that rounds up the night. It descends quietly from overhead.,A light that rounds up the night. It descends quietly from overhead.,A light that rounds up the night. It descends quietly from overhead.,A light that rounds up the night. It descends quietly from overhead.,Una luz que redondea la noche. Desciende en silencio desde arriba.,A light that rounds up the night. It descends quietly from overhead.,"Свет, который «закругляет» ночь. Тихо опускается сверху."
desc_pendant_light_large_a,,A light that dominates the space with its presence. The rooftop center.,存在感で空間を支配する光。屋上の中心。,存在感支配空间的灯光，屋顶中心。,存在感支配空間的燈光，屋頂中心。,A light that dominates the space with its presence. The rooftop center.,A light that dominates the space with its presence. The rooftop center.,A light that dominates the space with its presence. The rooftop center.,A light that dominates the space with its presence. The rooftop center.,Una luz que domina el espacio con su presencia. El centro de la azotea.,A light that dominates the space with its presence. The rooftop center.,"Свет, который своим присутствием доминирует в пространстве. Центр крыши."
desc_pendant_light_large_b,,Large yet gentle light. Looking up makes you calmer.,大きいのに優しい光。見上げると少し落ち着く。,明明很大却很温柔的光，抬头就安心些。,明明很大卻很溫柔的光，抬頭就安心些。,Large yet gentle light. Looking up makes you calmer.,Large yet gentle light. Looking up makes you calmer.,Large yet gentle light. Looking up makes you calmer.,Large yet gentle light. Looking up makes you calmer.,Una luz grande pero suave. Mirar hacia arriba calma un poco.,Large yet gentle light. Looking up makes you calmer.,"Большой, но мягкий свет. Поднимаешь взгляд — и чуть спокойнее."
desc_pendant_light_small,,A small hanging night marker. You might mistake it for a star.,小さく吊るされた夜の目印。星と見間違える。,小小吊起的夜间标记，容易误认成星星。,小小吊起的夜間標記，容易誤認成星星。,A small hanging night marker. You might mistake it for a star.,A small hanging night marker. You might mistake it for a star.,A small hanging night marker. You might mistake it for a star.,A small hanging night marker. You might mistake it for a star.,Un pequeño marcador nocturno colgante. Puedes confundirlo con una estrella.,A small hanging night marker. You might mistake it for a star.,Маленький подвесной ночной ориентир. Можно спутать со звездой.
desc_old_wall_clock,,A veteran who knows all about staying up late. At least the time is accurate.,夜更かしを知り尽くした古参。時間だけは正確。,最懂熬夜的老前辈，时间依然精准。,最懂熬夜的老前輩，時間依然精準。,A veteran who knows all about staying up late. At least the time is accurate.,A veteran who knows all about staying up late. At least the time is accurate.,A veteran who knows all about staying up late. At least the time is accurate.,A veteran who knows all about staying up late. At least the time is accurate.,Un veterano que sabe todo de trasnochar. Al menos la hora es exacta.,A veteran who knows all about staying up late. At least the time is accurate.,"Ветеран, знающий всё о поздних ночах. По крайней мере время точное."
desc_wall_clock_square,,Moves on calmly with a square face. No sentiment.,四角い顔で淡々と進む。情はない。,方脸淡淡地前进，没有感情。,方臉淡淡地前進，沒有感情。,Moves on calmly with a square face. No sentiment.,Moves on calmly with a square face. No sentiment.,Moves on calmly with a square face. No sentiment.,Moves on calmly with a square face. No sentiment.,Avanza con calma con una cara cuadrada. Sin sentimentalismo.,Moves on calmly with a square face. No sentiment.,Спокойно идёт вперёд квадратным лицом. Без чувств.
desc_wall_clock_round,,Lets time flow with a round shape. Softer at night.,丸い形で時間を流す。夜に甘い。,圆形让时间流动，对夜晚更温柔。,圓形讓時間流動，對夜晚更溫柔。,Lets time flow with a round shape. Softer at night.,Lets time flow with a round shape. Softer at night.,Lets time flow with a round shape. Softer at night.,Lets time flow with a round shape. Softer at night.,Deja fluir el tiempo con forma redonda. Más suave de noche.,Lets time flow with a round shape. Softer at night.,Пускает время кругами. Ночью мягче.
desc_painting_large,,One piece that makes the space speak at once. Its meaning changes at night.,空間を一気に語らせる一枚。夜に見ると意味が変わる。,一幅就让空间开口说话，夜里看意义会变。,一幅就讓空間開口說話，夜裡看意義會變。,One piece that makes the space speak at once. Its meaning changes at night.,One piece that makes the space speak at once. Its meaning changes at night.,One piece that makes the space speak at once. Its meaning changes at night.,One piece that makes the space speak at once. Its meaning changes at night.,Una pieza que hace que el espacio hable de una vez. Su significado cambia de noche.,One piece that makes the space speak at once. Its meaning changes at night.,Одна картина заставляет пространство говорить сразу. Ночью смысл меняется.
desc_painting_small,,Small but still assertive. You stop when your eyes meet.,小さくても主張はある。目が合うと立ち止まる。,虽小却有主张，目光相遇就会停下。,雖小卻有主張，目光相遇就會停下。,Small but still assertive. You stop when your eyes meet.,Small but still assertive. You stop when your eyes meet.,Small but still assertive. You stop when your eyes meet.,Small but still assertive. You stop when your eyes meet.,Pequeña pero aún afirmativa. Te detienes cuando cruzas la mirada.,Small but still assertive. You stop when your eyes meet.,"Маленькая, но с характером. Останавливаешься, когда встречаешь взгляд."
desc_bracket_light,,Light that traces the night along the wall. In charge of outlines.,壁際で夜をなぞる光。輪郭担当。,沿墙描画夜色的灯，负责轮廓。,沿牆描畫夜色的燈，負責輪廓。,Light that traces the night along the wall. In charge of outlines.,Light that traces the night along the wall. In charge of outlines.,Light that traces the night along the wall. In charge of outlines.,Light that traces the night along the wall. In charge of outlines.,Luz que traza la noche a lo largo de la pared. Encargada de los contornos.,Light that traces the night along the wall. In charge of outlines.,"Свет, обводящий ночь вдоль стены. Отвечает за контуры."
desc_wall_calendar,,Tells you today's date. Not looked at much at night.,今日の日付を知らせる存在。夜にはあまり見られない。,提醒今天日期的存在，夜里很少看它。,提醒今天日期的存在，夜裡很少看它。,Tells you today's date. Not looked at much at night.,Tells you today's date. Not looked at much at night.,Tells you today's date. Not looked at much at night.,Tells you today's date. Not looked at much at night.,Te dice la fecha de hoy. Por la noche casi no se mira.,Tells you today's date. Not looked at much at night.,Сообщает сегодняшнюю дату. Ночью почти не смотрят.
desc_coat_hook,,A small role that takes your coat. Traces of the night breeze remain.,上着を引き受ける小さな役目。夜風の痕跡が残る。,接过外套的小小角色，留下夜风痕迹。,接過外套的小小角色，留下夜風痕跡。,A small role that takes your coat. Traces of the night breeze remain.,A small role that takes your coat. Traces of the night breeze remain.,A small role that takes your coat. Traces of the night breeze remain.,A small role that takes your coat. Traces of the night breeze remain.,Un pequeño papel que toma tu abrigo. Quedan rastros de la brisa nocturna.,A small role that takes your coat. Traces of the night breeze remain.,Небольшая роль для пальто. Остаются следы ночного ветра.
,,,,,,,,,,,,
desc_pergola_large,,A large frame that separates sunlight and shade. It creates a spot on the rooftop.,日差しと影を分ける大きな骨組み。屋上に居場所が生まれる。,分开日光与阴影的大骨架，屋顶有了栖身处。,分開日光與陰影的大骨架，屋頂有了棲身處。,A large frame that separates sunlight and shade. It creates a spot on the rooftop.,A large frame that separates sunlight and shade. It creates a spot on the rooftop.,A large frame that separates sunlight and shade. It creates a spot on the rooftop.,A large frame that separates sunlight and shade. It creates a spot on the rooftop.,Un gran armazón que separa sol y sombra. Crea un lugar en la azotea.,A large frame that separates sunlight and shade. It creates a spot on the rooftop.,"Большая рама, разделяющая солнце и тень. Создаёт место на крыше."
desc_pergola_small,,A small roof that makes a modest shade. For sunny days only.,ささやかな影をつくる小さな屋根。晴れた日専用。,制造小小阴影的小屋顶，只限晴天使用。,製造小小陰影的小屋頂，只限晴天使用。,A small roof that makes a modest shade. For sunny days only.,A small roof that makes a modest shade. For sunny days only.,A small roof that makes a modest shade. For sunny days only.,A small roof that makes a modest shade. For sunny days only.,Un pequeño techo que crea una sombra modesta. Solo para días soleados.,A small roof that makes a modest shade. For sunny days only.,"Маленькая крыша, дающая скромную тень. Только для солнечных дней."
desc_gardening_bench_a,,A seat to face the soil. The break tends to last longer.,土と向き合うための腰掛け。休憩のほうが長くなる。,面对泥土的坐椅，休息往往更久。,面對泥土的坐椅，休息往往更久。,A seat to face the soil. The break tends to last longer.,A seat to face the soil. The break tends to last longer.,A seat to face the soil. The break tends to last longer.,A seat to face the soil. The break tends to last longer.,Un asiento para mirar la tierra. El descanso suele durar más.,A seat to face the soil. The break tends to last longer.,"Сиденье, чтобы смотреть на землю. Перерыв обычно длится дольше."
desc_gardening_bench_b,,A chair meant for work. You end up staring at the sky.,作業用のはずの椅子。気づくと空を見ている。,本该用于工作的椅子，回过神在看天空。,本該用於工作的椅子，回過神在看天空。,A chair meant for work. You end up staring at the sky.,A chair meant for work. You end up staring at the sky.,A chair meant for work. You end up staring at the sky.,A chair meant for work. You end up staring at the sky.,Una silla destinada al trabajo. Terminas mirando al cielo.,A chair meant for work. You end up staring at the sky.,Стул для работы. В итоге смотришь в небо.
desc_parasol_and_bench,,Shade and rest at the same time. More reasons to stop moving.,日陰と休憩が同時に手に入る。動かなくなる理由が増える。,遮阴和休息同时到手，不想动的理由增加。,遮陰和休息同時到手，不想動的理由增加。,Shade and rest at the same time. More reasons to stop moving.,Shade and rest at the same time. More reasons to stop moving.,Shade and rest at the same time. More reasons to stop moving.,Shade and rest at the same time. More reasons to stop moving.,Sombra y descanso al mismo tiempo. Más razones para no moverse.,Shade and rest at the same time. More reasons to stop moving.,Тень и отдых одновременно. Ещё больше причин не двигаться.
desc_dog_house,,A small house on the rooftop. The owner is usually away.,屋上に置かれた小さな家。主はだいたい不在。,屋顶上的小房子，主人大多不在。,屋頂上的小房子，主人大多不在。,A small house on the rooftop. The owner is usually away.,A small house on the rooftop. The owner is usually away.,A small house on the rooftop. The owner is usually away.,A small house on the rooftop. The owner is usually away.,Una casita en la azotea. El dueño suele estar fuera.,A small house on the rooftop. The owner is usually away.,Домик на крыше. Хозяин обычно отсутствует.
desc_bird_cage,,It has presence even with no one inside. Only the wind visits.,誰もいないのに存在感がある。風だけが訪問者。,即使空着也很有存在感，访客只有风。,即使空著也很有存在感，訪客只有風。,It has presence even with no one inside. Only the wind visits.,It has presence even with no one inside. Only the wind visits.,It has presence even with no one inside. Only the wind visits.,It has presence even with no one inside. Only the wind visits.,Tiene presencia aunque no haya nadie dentro. Solo el viento visita.,It has presence even with no one inside. Only the wind visits.,Есть присутствие даже без жильцов. В гости приходит только ветер.
desc_garden_chair,,Sit lightly and stand easily. A distance that suits the rooftop.,軽く座れてすぐ立てる。屋上向きの距離感。,轻松坐下又能立起，适合屋顶的距离感。,輕鬆坐下又能立起，適合屋頂的距離感。,Sit lightly and stand easily. A distance that suits the rooftop.,Sit lightly and stand easily. A distance that suits the rooftop.,Sit lightly and stand easily. A distance that suits the rooftop.,Sit lightly and stand easily. A distance that suits the rooftop.,Siéntate ligero y levántate fácil. Una distancia adecuada para la azotea.,Sit lightly and stand easily. A distance that suits the rooftop.,"Садишься легко и встаёшь легко. Дистанция, подходящая крыше."
desc_garden_chair_long,,Enough room to lie down. A danger zone for naps.,横になれるほどの余裕。昼寝の危険地帯。,宽到能躺下，午睡危险地带。,寬到能躺下，午睡危險地帶。,Enough room to lie down. A danger zone for naps.,Enough room to lie down. A danger zone for naps.,Enough room to lie down. A danger zone for naps.,Enough room to lie down. A danger zone for naps.,Suficiente espacio para tumbarse. Zona peligrosa para siestas.,Enough room to lie down. A danger zone for naps.,"Достаточно места, чтобы лечь. Опасная зона для дрем."
desc_garden_table,,A place to put things. Conversations tend to gather too.,物を置くための場所。会話も集まりがち。,放东西的地方，对话也容易聚集。,放東西的地方，對話也容易聚集。,A place to put things. Conversations tend to gather too.,A place to put things. Conversations tend to gather too.,A place to put things. Conversations tend to gather too.,A place to put things. Conversations tend to gather too.,Un lugar para poner cosas. Las conversaciones también se reúnen.,A place to put things. Conversations tend to gather too.,"Место, чтобы положить вещи. Разговоры тоже тянутся сюда."
desc_garden_shed_shelf,,A shelf for outdoors that still feels lived-in. The first step to rooftop storage.,外用なのに生活感が出る棚。屋上倉庫化の第一歩。,明明是户外架却有生活感，屋顶变仓库的第一步。,明明是戶外架卻有生活感，屋頂變倉庫的第一步。,A shelf for outdoors that still feels lived-in. The first step to rooftop storage.,A shelf for outdoors that still feels lived-in. The first step to rooftop storage.,A shelf for outdoors that still feels lived-in. The first step to rooftop storage.,A shelf for outdoors that still feels lived-in. The first step to rooftop storage.,Una estantería para exteriores que aún se siente vivida. El primer paso hacia un almacén en la azotea.,A shelf for outdoors that still feels lived-in. The first step to rooftop storage.,"Полка для улицы, но с ощущением быта. Первый шаг к превращению крыши в склад."
desc_small_outdoor_shelf,,For quick placing only. Somehow it keeps growing.,ちょい置き専用。いつの間にか増えている。,只为随手一放，东西不知不觉增加。,只為隨手一放，東西不知不覺增加。,For quick placing only. Somehow it keeps growing.,For quick placing only. Somehow it keeps growing.,For quick placing only. Somehow it keeps growing.,For quick placing only. Somehow it keeps growing.,Solo para dejar algo rápido. De alguna forma siempre crece.,For quick placing only. Somehow it keeps growing.,Только для быстрого «положить». Почему-то всё время прибавляется.
desc_medium_outdoor_shelf,,A reasonably reliable size. You intend to tidy up.,ほどよく頼れるサイズ。整理する気はある。,刚好可靠的尺寸，至少有想整理的心。,剛好可靠的尺寸，至少有想整理的心。,A reasonably reliable size. You intend to tidy up.,A reasonably reliable size. You intend to tidy up.,A reasonably reliable size. You intend to tidy up.,A reasonably reliable size. You intend to tidy up.,Un tamaño razonablemente fiable. Tienes intención de ordenar.,A reasonably reliable size. You intend to tidy up.,Довольно надёжный размер. Намерение прибраться есть.
desc_large_outdoor_shelf,,A reassuring size. Cleaning up gets postponed.,安心感のある大きさ。片付けは後回し。,让人安心的大尺寸，收拾先放一放。,讓人安心的大尺寸，收拾先放一放。,A reassuring size. Cleaning up gets postponed.,A reassuring size. Cleaning up gets postponed.,A reassuring size. Cleaning up gets postponed.,A reassuring size. Cleaning up gets postponed.,Un tamaño tranquilizador. La limpieza se pospone.,A reassuring size. Cleaning up gets postponed.,Успокаивающий размер. Уборка откладывается.
desc_gardening_basket,,Carries soil and tools together. The contents usually get mixed.,土と道具をまとめて運ぶ。中身はだいたい混ざる。,一起运土和工具，内容多半混在一起。,一起運土和工具，內容多半混在一起。,Carries soil and tools together. The contents usually get mixed.,Carries soil and tools together. The contents usually get mixed.,Carries soil and tools together. The contents usually get mixed.,Carries soil and tools together. The contents usually get mixed.,Lleva tierra y herramientas juntas. El contenido suele mezclarse.,Carries soil and tools together. The contents usually get mixed.,Носит землю и инструменты вместе. Содержимое обычно смешивается.
desc_garden_fence,,A line that loosely separates the garden from the rest. It's mostly a feeling.,庭とそれ以外をゆるく分ける線。気持ちの問題。,把庭院与其他地方轻轻分开的线，主要是心情问题。,把庭院與其他地方輕輕分開的線，主要是心情問題。,A line that loosely separates the garden from the rest. It's mostly a feeling.,A line that loosely separates the garden from the rest. It's mostly a feeling.,A line that loosely separates the garden from the rest. It's mostly a feeling.,A line that loosely separates the garden from the rest. It's mostly a feeling.,Una línea que separa suavemente el jardín del resto. Es más una sensación.,A line that loosely separates the garden from the rest. It's mostly a feeling.,"Линия, мягко отделяющая сад от остального. Это скорее чувство."
desc_watering_can,,A companion for carrying water. Spills are expected.,水を運ぶための相棒。こぼれる前提。,运水的伙伴，洒出来是常态。,運水的夥伴，灑出來是常態。,A companion for carrying water. Spills are expected.,A companion for carrying water. Spills are expected.,A companion for carrying water. Spills are expected.,A companion for carrying water. Spills are expected.,Un compañero para llevar agua. Los derrames están previstos.,A companion for carrying water. Spills are expected.,Спутник для переноски воды. Проливы ожидаемы.
desc_bucket,,A multipurpose container that catches anything. Its use depends on the day.,何でも受け止める万能容器。用途はその日次第。,能接住任何东西的万能桶，用途看当天。,能接住任何東西的萬能桶，用途看當天。,A multipurpose container that catches anything. Its use depends on the day.,A multipurpose container that catches anything. Its use depends on the day.,A multipurpose container that catches anything. Its use depends on the day.,A multipurpose container that catches anything. Its use depends on the day.,Un contenedor multipropósito que recibe de todo. Su uso depende del día.,A multipurpose container that catches anything. Its use depends on the day.,"Универсальная ёмкость, принимающая всё. Использование зависит от дня."
desc_hose_reel,,A device to organize a tangly partner. Carelessness is risky.,絡まりがちな相棒をまとめる装置。油断は禁物。,整理容易缠绕伙伴的装置，松懈就出事。,整理容易纏繞夥伴的裝置，鬆懈就出事。,A device to organize a tangly partner. Carelessness is risky.,A device to organize a tangly partner. Carelessness is risky.,A device to organize a tangly partner. Carelessness is risky.,A device to organize a tangly partner. Carelessness is risky.,Un dispositivo para ordenar a un compañero enredoso. La despreocupación es riesgosa.,A device to organize a tangly partner. Carelessness is risky.,Устройство для упорядочивания путающегося напарника. Небрежность опасна.
desc_lantern,,Light it at night and the mood is complete. Easy to forget to turn off.,夜に灯すと雰囲気が完成する。消し忘れがち。,夜里一亮氛围就完成，容易忘记关。,夜裡一亮氛圍就完成，容易忘記關。,Light it at night and the mood is complete. Easy to forget to turn off.,Light it at night and the mood is complete. Easy to forget to turn off.,Light it at night and the mood is complete. Easy to forget to turn off.,Light it at night and the mood is complete. Easy to forget to turn off.,Enciéndela de noche y el ambiente queda completo. Fácil olvidar apagarla.,Light it at night and the mood is complete. Easy to forget to turn off.,Зажжёшь ночью — атмосфера готова. Легко забыть выключить.
desc_gardening_fence_large,,Beyond here is garden territory. At least the mood is clearly divided.,ここから先は庭の領域。気分だけはしっかり区切る。,从这里开始是庭院地带，心情上要分清。,從這裡開始是庭院地帶，心情上要分清。,Beyond here is garden territory. At least the mood is clearly divided.,Beyond here is garden territory. At least the mood is clearly divided.,Beyond here is garden territory. At least the mood is clearly divided.,Beyond here is garden territory. At least the mood is clearly divided.,De aquí en adelante es territorio del jardín. Al menos el ánimo queda dividido.,Beyond here is garden territory. At least the mood is clearly divided.,Отсюда начинается территория сада. По крайней мере настроение чётко разделено.
desc_folding_chair,,Fold it and it waits quietly. Its turn comes on a whim.,畳めば静かに待機する椅子。出番は気まぐれ。,折起来就安静待机，出场看心情。,折起來就安靜待機，出場看心情。,Fold it and it waits quietly. Its turn comes on a whim.,Fold it and it waits quietly. Its turn comes on a whim.,Fold it and it waits quietly. Its turn comes on a whim.,Fold it and it waits quietly. Its turn comes on a whim.,La doblas y espera en silencio. Su turno llega por capricho.,Fold it and it waits quietly. Its turn comes on a whim.,Сложишь — и она тихо ждёт. Её очередь приходит по прихоти.
desc_shovel,,A tool for digging soil. A bit overkill on the rooftop.,土を掘るための道具。屋上では少し大げさ。,挖土工具，在屋顶上有点大材小用。,挖土工具，在屋頂上有點大材小用。,A tool for digging soil. A bit overkill on the rooftop.,A tool for digging soil. A bit overkill on the rooftop.,A tool for digging soil. A bit overkill on the rooftop.,A tool for digging soil. A bit overkill on the rooftop.,Una herramienta para cavar tierra. Un poco excesiva en la azotea.,A tool for digging soil. A bit overkill on the rooftop.,Инструмент для копания земли. На крыше это немного чрезмерно.
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
desc_chouzusha,,A place to wash heart and hands before worship. If only it could wash away yesterday's worries too.,参拝前に心と手を洗う場所。ついでに昨日の悩みも流せたらいいのに。,参拜前洗心洗手之处，要是能顺便冲走昨日烦恼就好了。,參拜前洗心洗手之處，要是能順便沖走昨日煩惱就好了。,A place to wash heart and hands before worship. If only it could wash away yesterday's worries too.,A place to wash heart and hands before worship. If only it could wash away yesterday's worries too.,A place to wash heart and hands before worship. If only it could wash away yesterday's worries too.,A place to wash heart and hands before worship. If only it could wash away yesterday's worries too.,Un lugar para lavar corazón y manos antes de rezar. Ojalá pudiera llevarse también las preocupaciones de ayer.,A place to wash heart and hands before worship. If only it could wash away yesterday's worries too.,"Место, чтобы омовить сердце и руки перед поклонением. Если бы ещё смывало вчерашние тревоги."
desc_main_shrine,,"The final boss of this shrine... no, the most important spot. Don't be greedy with wishes.",この神社のラスボス…ではなく、最重要スポット。お願い事は欲張らずに。,这座神社的最终BOSS…其实是最重要的地方。许愿别太贪。,這座神社的最終BOSS…其實是最重要的地方。許願別太貪。,"The final boss of this shrine... no, the most important spot. Don't be greedy with wishes.","The final boss of this shrine... no, the most important spot. Don't be greedy with wishes.","The final boss of this shrine... no, the most important spot. Don't be greedy with wishes.","The final boss of this shrine... no, the most important spot. Don't be greedy with wishes.","El jefe final de este santuario... no, el lugar más importante. No seas codicioso con los deseos.","The final boss of this shrine... no, the most important spot. Don't be greedy with wishes.","Финальный босс этого святилища... нет, самое важное место. Не жадничай с желаниями."
desc_torii_large,,From here is sacred proclaimed boldly. Your posture straightens on its own.,「ここから神域です」という堂々たる宣言。姿勢も自然とシャキッとする。,大声宣告从此处为神域，姿势也自然挺直。,大聲宣告從此處為神域，姿勢也自然挺直。,From here is sacred proclaimed boldly. Your posture straightens on its own.,From here is sacred proclaimed boldly. Your posture straightens on its own.,From here is sacred proclaimed boldly. Your posture straightens on its own.,From here is sacred proclaimed boldly. Your posture straightens on its own.,"Desde aquí es sagrado, proclamado con fuerza. La postura se endereza sola.",From here is sacred proclaimed boldly. Your posture straightens on its own.,Отсюда начинается священное — заявлено уверенно. Осанка сама выпрямляется.
desc_torii_medium,,"Not as grand as the large torii, but it does its job.",大鳥居ほどじゃないけど、ちゃんと仕事はしてます。,比不上大鸟居，但该做的都做了。,比不上大鳥居，但該做的都做了。,"Not as grand as the large torii, but it does its job.","Not as grand as the large torii, but it does its job.","Not as grand as the large torii, but it does its job.","Not as grand as the large torii, but it does its job.","No es tan grandioso como el torii grande, pero cumple su trabajo.","Not as grand as the large torii, but it does its job.","Не такой грандиозный, как большой тории, но свою работу выполняет."
desc_jizou_large,,A presence that watches silently even on the rooftop. Saying nothing is most appreciated.,屋上でも黙って見守る存在。何も言わないのが一番ありがたい。,即使在屋顶也默默守望，什么都不说最让人感激。,即使在屋頂也默默守望，什麼都不說最讓人感激。,A presence that watches silently even on the rooftop. Saying nothing is most appreciated.,A presence that watches silently even on the rooftop. Saying nothing is most appreciated.,A presence that watches silently even on the rooftop. Saying nothing is most appreciated.,A presence that watches silently even on the rooftop. Saying nothing is most appreciated.,Una presencia que vigila en silencio incluso en la azotea. No decir nada es lo más apreciado.,A presence that watches silently even on the rooftop. Saying nothing is most appreciated.,"Присутствие, тихо наблюдающее даже на крыше. Ничего не говорить — самое ценное."
desc_jizou_small,,Small but the role is the same. Only the quietness increases.,小さくても役目は同じ。静かさだけが増えている。,小归小，职责一样，安静更浓。,小歸小，職責一樣，安靜更濃。,Small but the role is the same. Only the quietness increases.,Small but the role is the same. Only the quietness increases.,Small but the role is the same. Only the quietness increases.,Small but the role is the same. Only the quietness increases.,Pequeño pero la función es la misma. Solo aumenta el silencio.,Small but the role is the same. Only the quietness increases.,"Маленький, но роль та же. Лишь тишины больше."
desc_drum,,Strike it and it feels like it reaches the gods. Watch out for the neighbors.,叩くと神様に届く…気がする。近所迷惑には要注意。,敲了感觉能传达给神明，要小心扰民。,敲了感覺能傳達給神明，要小心擾民。,Strike it and it feels like it reaches the gods. Watch out for the neighbors.,Strike it and it feels like it reaches the gods. Watch out for the neighbors.,Strike it and it feels like it reaches the gods. Watch out for the neighbors.,Strike it and it feels like it reaches the gods. Watch out for the neighbors.,Golpéalo y parece que llega a los dioses. Cuidado con los vecinos.,Strike it and it feels like it reaches the gods. Watch out for the neighbors.,"Ударишь — и кажется, что доходит до богов. С соседями осторожно."
desc_komainu_a,,"The guardian with mouth open, protecting with full force. The motivation shows.",口を開けて全力で守っている担当。やる気が顔に出ている。,张口全力守护的担当，干劲写在脸上。,張口全力守護的擔當，幹勁寫在臉上。,"The guardian with mouth open, protecting with full force. The motivation shows.","The guardian with mouth open, protecting with full force. The motivation shows.","The guardian with mouth open, protecting with full force. The motivation shows.","The guardian with mouth open, protecting with full force. The motivation shows.",El guardián con la boca abierta protege con toda fuerza. La motivación se nota en la cara.,"The guardian with mouth open, protecting with full force. The motivation shows.",Сторож с открытой пастью защищает изо всех сил. Мотивация видна на лице.
